name,ccb,logmh,ccr,dedeg,fhi,morphel,modelu_rcorr,r50,fg,fc,fa,r90,modelu_j,den1mpc,grp,absrmag,grpcz,fmorphel,cz,radeg,logmstar
ECO03500,1.0,11.17,1.05,5.726,1,L,2.13,14.1,1,1,1,38.0,3.82,0.54,2822,-19.43,2599.7,1,2599.7,184.777,9.91
ECO03501,1.0,11.01,1.12,6.382,1,L,1.53,23.2,1,1,1,58.7,0.76,0.48,2823,-18.75,2718.3,1,2718.3,184.802,8.99
ECO03502,1.0,11.92,1.04,22.431,1,L,0.83,19.4,0,1,0,52.3,2.44,1.49,2060,-21.12,6658.7,2,6645.5,184.806,10.03
ECO03503,1.0,11.44,1.07,49.355,1,L,1.12,23.9,0,1,0,44.1,2.75,0.2,2824,-20.34,3729.6,2,3729.6,184.801,9.81
ECO03504,1.0,11.23,1.1,7.798,2,L,0.73,8.2,1,1,1,24.7,2.47,0.94,2825,-19.68,7163.4,1,7163.4,184.87,9.31
ECO03505,1.0,11.83,1.03,9.414,2,L,1.81,10.9,1,1,1,30.3,3.45,1.32,2826,-21.23,7333.9,2,7333.9,184.887,10.59
ECO03506,1.0,11.07,1.13,6.329,1,L,0.73,15.8,1,1,1,33.8,2.26,0.5,2827,-19.02,3541.6,2,3541.6,139.046,9.09
ECO03507,1.0,11.98,1.04,49.816,1,E,2.43,11.8,0,1,0,40.8,4.46,0.32,2828,-21.51,4189.7,2,4189.7,184.884,10.83
ECO03508,1.0,11.42,1.08,9.149,2,L,0.75,12.0,1,1,1,23.1,2.63,0.64,2829,-20.29,5792.0,2,5792.0,184.934,9.61
ECO03509,1.0,11.6,1.06,6.992,2,L,1.07,9.2,1,1,1,23.3,2.85,0.51,2830,-20.76,7094.6,2,7094.6,184.962,9.91
ECO03510,1.0,12.29,1.01,25.772,1,E,2.42,10.2,0,1,1,42.8,4.38,2.24,2831,-22.03,6732.8,2,6732.8,184.993,11.05
ECO03511,1.0,12.25,1.03,8.608,1,L,1.17,9.0,1,0,1,32.2,2.5,1.44,1342,-21.08,7233.2,2,7270.0,185.006,10.13
ECO03512,1.0,12.25,1.03,8.645,1,L,1.4,14.0,1,1,1,45.8,3.23,1.48,1342,-21.27,7233.2,1,7258.7,185.042,10.47
ECO03513,1.0,12.38,1.02,5.386,1,E,2.36,31.4,1,1,1,150.5,4.13,0.53,2832,-22.16,2613.8,1,2613.8,185.09,11.15
ECO03514,1.0,11.93,1.03,5.573,1,L,2.15,10.8,1,1,1,32.1,3.86,0.17,2833,-21.41,6428.6,1,6428.6,185.101,10.73
ECO03515,1.0,12.58,1.01,25.561,1,E,2.38,10.2,0,1,1,49.2,4.34,2.6,1698,-21.8,6906.0,2,6844.2,185.1,10.95
ECO03516,1.0,11.81,1.05,9.424,1,L,0.82,8.0,1,1,1,16.2,2.95,1.06,2834,-20.95,7443.5,2,7441.8,185.111,9.99
ECO03517,1.0,13.07,1.03,30.916,1,L,2.15,20.2,0,1,0,90.2,4.29,1.56,838,-22.55,6905.5,1,6903.2,139.174,11.23
ECO03518,1.0,11.65,1.06,31.172,1,L,0.92,7.7,0,1,0,17.4,2.89,0.47,2835,-20.85,6730.2,2,6730.2,185.115,9.91
ECO03519,1.0,11.44,1.13,9.854,2,L,2.06,8.2,1,1,1,24.6,3.64,0.68,2836,-20.33,5806.0,1,5806.0,185.139,10.29
ECO03520,1.0,11.66,1.07,39.633,1,E,2.24,10.2,0,1,0,55.6,3.73,0.75,2837,-20.78,6176.9,2,6155.6,185.132,10.49
ECO03521,1.0,11.47,1.09,46.256,1,L,2.34,7.7,0,1,0,21.6,4.03,1.03,2838,-20.42,7052.1,1,7052.1,185.169,10.21
ECO03522,1.0,11.44,1.08,11.009,2,L,1.32,9.8,1,1,1,23.3,3.56,0.47,2839,-20.34,5807.8,1,5807.8,185.23,10.11
ECO03523,1.0,11.74,1.07,24.669,2,L,0.92,8.0,0,1,1,15.5,3.09,1.12,2179,-20.96,7313.0,2,7319.1,185.232,10.15
ECO03524,1.0,11.87,1.03,39.9,1,E,2.23,8.9,0,1,0,29.8,4.06,1.43,2840,-21.34,7029.9,1,7029.9,185.259,10.69
ECO03525,1.0,11.94,1.06,39.868,1,L,0.95,8.6,0,1,0,20.1,2.83,0.49,2841,-20.73,6709.7,2,6691.9,185.262,9.93
ECO03526,1.0,11.94,1.06,39.893,1,L,0.92,8.7,0,0,0,24.0,2.52,0.51,2841,-20.66,6709.7,2,6727.4,185.275,9.83
ECO03527,1.0,11.55,1.05,32.711,1,L,1.02,6.3,0,1,0,20.2,2.38,0.5,2842,-20.3,6885.7,2,6899.7,185.326,9.57
ECO03528,1.0,11.94,1.02,27.489,2,L,1.45,12.2,0,1,1,33.4,3.22,0.45,1395,-21.42,6995.3,2,6998.7,139.206,10.63
ECO03529,1.0,11.96,1.04,6.653,1,E,2.44,10.9,1,1,1,44.1,4.44,0.65,2843,-21.36,4036.4,1,4118.8,185.368,10.79
ECO03530,1.0,12.33,1.0,40.849,1,L,1.46,18.6,0,1,0,41.6,3.14,1.22,2844,-22.1,6942.5,2,6942.5,185.413,10.59
ECO03531,1.0,11.62,1.09,11.755,2,L,1.55,11.8,1,1,1,23.7,3.3,0.7,2845,-20.8,7434.2,2,7434.2,185.525,10.35
ECO03532,1.0,11.4,1.15,8.991,2,L,1.14,14.4,1,1,1,31.2,2.79,0.57,2846,-20.08,5721.4,2,5740.4,185.531,9.71
ECO03533,1.0,10.89,1.14,6.227,2,L,1.4,15.3,1,1,1,35.1,2.66,0.48,2847,-18.11,2714.8,1,2714.8,185.665,8.89
ECO03534,1.0,12.05,1.03,3.142,1,E,2.28,9.1,1,1,0,49.9,3.75,0.94,2848,-21.47,6847.7,2,6791.7,185.677,10.81
ECO03535,1.0,11.54,1.07,3.104,1,L,1.11,7.9,1,1,0,20.3,2.65,0.58,476,-20.56,6217.6,2,6211.1,185.707,9.79
ECO03536,1.0,12.75,1.0,6.072,1,L,1.93,16.0,1,1,1,45.5,3.93,0.66,2849,-21.94,6952.4,2,6995.2,185.799,10.85
ECO03537,1.0,12.75,1.0,6.041,1,L,1.89,8.3,1,0,1,26.2,3.72,0.68,2849,-21.72,6952.4,2,6909.6,185.843,10.55
ECO03538,1.0,11.44,1.1,7.266,2,L,1.09,15.4,1,1,1,33.7,2.39,0.32,2850,-20.34,5481.7,2,5481.7,139.166,9.63
ECO03539,1.0,12.05,1.01,7.473,1,L,1.4,28.3,1,1,1,68.8,3.46,0.63,2851,-21.64,4168.2,1,4168.2,185.85,10.33
ECO03540,1.0,11.55,1.07,9.649,1,L,0.78,6.9,1,1,1,16.1,2.44,0.36,2852,-20.63,6387.7,1,6387.7,185.895,9.63
ECO03541,1.0,11.89,1.02,2.961,1,L,1.47,14.8,1,1,0,35.0,3.17,0.46,2853,-21.36,7419.5,2,7419.5,185.923,10.65
ECO03542,1.0,13.4,1.09,9.338,1,L,1.88,10.3,1,0,1,22.7,3.68,2.29,1021,-20.44,6823.3,1,6948.6,185.936,10.31
ECO03543,1.0,11.52,1.07,4.087,2,L,1.23,11.0,1,1,1,21.6,3.06,0.86,2854,-20.55,6774.6,2,6774.6,185.961,10.03
ECO03544,1.0,11.69,1.09,27.394,1,L,2.36,7.1,0,1,1,19.0,3.99,0.64,2855,-20.95,7332.4,1,7332.4,185.951,10.51
ECO03545,1.0,11.23,1.08,5.313,2,L,0.88,7.7,1,1,1,18.5,2.97,0.72,2856,-19.67,6873.2,2,6873.2,186.009,9.57
